epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy,test_balanced_accuracy
1,1.2723247265670357,65.17065919615803,0.9780881776734516,69.56583027910911,92.03477773103351,86.34983825683594
2,0.8244040373985361,73.87608865511787,0.639682265250264,78.68621370171977,92.03477773103351,86.34983825683594
3,0.573775963485241,81.87829931583862,0.4728658309558758,85.19875951508317,92.03477773103351,86.34983825683594
4,0.4516029968494322,85.77554170716368,0.3931989223771804,88.17310403157597,92.03477773103351,86.34983825683594
5,0.3792237830598179,88.13866178796714,0.3524209301381766,89.314914011841,92.03477773103351,86.34983825683594
6,0.3296162474627901,89.74329655251272,0.3313086514050762,89.37129968987877,92.03477773103351,86.34983825683594
7,0.2905813254052546,91.08875040497016,0.2922755414787847,91.091062870031,92.03477773103351,86.34983825683594
8,0.2653907080521671,91.93108836925656,0.2824026670071993,91.17564138708768,92.03477773103351,86.34983825683594
9,0.239322495678576,92.70863110552094,0.2648337442209726,91.8099802650127,92.03477773103351,86.34983825683594
10,0.2223656535057759,93.24033312370172,0.2570524565909091,92.07781223569214,92.03477773103351,86.34983825683594
